Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop
22996,2018_长圳人行天桥,1342.0,770.0,572.0,1950.0,False,82.0,2.0,23.0,6.0,8.0,10.0,4.0,30.0,2.0,1.0,2.0,4.0,0.0,1.0,1962,3674.0
22997,2018_长圳公园,3534.0,2178.0,1356.0,4597.0,False,257.0,8.0,40.0,23.0,56.0,28.0,14.0,32.0,7.0,12.0,14.0,2.0,7.0,14.0,4699,1481.0
22998,2018_长圳市场,90.0,58.0,32.0,4595.0,False,369.0,6.0,20.0,37.0,104.0,47.0,20.0,43.0,17.0,20.0,24.0,0.0,12.0,24.0,4697,1605.0
22999,2018_长圳总站,22674.0,13126.0,9548.0,4592.0,False,299.0,4.0,26.0,31.0,69.0,48.0,12.0,36.0,5.0,15.0,5.0,0.0,9.0,46.0,4694,4951.0
23000,2018_长圳村委,5756.0,3512.0,2244.0,4596.0,False,122.0,4.0,24.0,9.0,27.0,18.0,4.0,24.0,0.0,4.0,5.0,2.0,2.0,5.0,4698,3563.0
23001,2018_长圳燃气站,44.0,36.0,8.0,5938.0,False,160.0,18.0,7.0,13.0,38.0,14.0,7.0,28.0,12.0,7.0,11.0,0.0,5.0,8.0,6183,1312.0
23002,2018_长圳路口,4464.0,2446.0,2018.0,4593.0,False,131.0,12.0,25.0,11.0,31.0,8.0,4.0,34.0,0.0,2.0,3.0,2.0,8.0,6.0,4695,4183.0
23003,2018_长圳邮政,3072.0,1910.0,1162.0,4594.0,False,188.0,6.0,18.0,19.0,41.0,28.0,3.0,43.0,0.0,6.0,14.0,0.0,14.0,11.0,4696,2499.0
23004,2018_长坑村,110.0,70.0,40.0,4875.0,False,18.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,4992,3227.0
23005,2018_长城工业区,38258.0,22190.0,16068.0,4631.0,False,87.0,2.0,24.0,1.0,2.0,5.0,3.0,26.0,0.0,1.0,0.0,0.0,4.0,1.0,4733,6029.0
23006,2018_长城工业区①,9718.0,5688.0,4030.0,1580.0,False,211.0,6.0,36.0,19.0,38.0,13.0,14.0,38.0,7.0,11.0,10.0,0.0,12.0,4.0,1592,3497.0
23007,2018_长城开发,45624.0,25770.0,19854.0,958.0,False,73.0,2.0,15.0,3.0,1.0,3.0,2.0,42.0,4.0,0.0,0.0,9.0,1.0,0.0,956,7840.0
23008,2018_长存路口,638.0,342.0,296.0,4607.0,False,201.0,26.0,18.0,18.0,51.0,16.0,8.0,54.0,0.0,6.0,11.0,0.0,10.0,10.0,4709,1871.0
