treat,总流量,高峰流量,平均乘距,生活类,休闲类,文化类,商务类,设施类,人口
False,3582.0,2012.0,4235.4710736775805,0.0,0.0,0.0,0.0,6.0,1287.0
True,58698.0,27096.0,6110.475377353287,206.0,1660.0,67.0,122.0,126.0,10781.0
True,3506.0,1582.0,6289.225004489381,106.0,809.0,26.0,63.0,94.0,11915.0
False,652.0,352.0,1642.034815933594,25.0,22.0,2.0,3.0,12.0,4242.0
False,36.0,26.0,1539.9556328160593,38.0,121.0,5.0,8.0,2.0,3830.0
False,158.0,100.0,1882.949741248716,27.0,84.0,5.0,18.0,10.0,7248.0
True,740.0,462.0,11629.929381007816,131.0,524.0,61.0,32.0,44.0,3430.0
False,424.0,168.0,2162.2493169199056,0.0,0.0,0.0,0.0,4.0,251.0
True,266.0,118.0,4885.296300208775,5.0,21.0,4.0,22.0,54.0,8146.0
False,2456.0,1040.0,3445.63771590245,35.0,138.0,13.0,20.0,30.0,3089.0
False,148.0,72.0,5541.880406590083,18.0,12.0,0.0,0.0,4.0,1982.0
True,4738.0,2236.0,3712.345772021293,355.0,471.0,136.0,226.0,212.0,18020.0
False,4966.0,2638.0,9840.190261951491,36.0,54.0,4.0,6.0,6.0,5379.0
False,5510.0,3056.0,1528.7232902717408,101.0,389.0,35.0,32.0,56.0,14038.0
True,4342.0,2418.0,5582.069611460966,73.0,237.0,34.0,85.0,46.0,3811.0
False,2234.0,1298.0,3123.828846010725,19.0,55.0,0.0,9.0,6.0,4709.0
True,3254.0,1834.0,6684.011399301494,88.0,177.0,14.0,30.0,72.0,6705.0
True,19774.0,8402.0,3164.2579559665683,452.0,957.0,76.0,166.0,154.0,7688.0
False,852.0,420.0,3198.1166649432544,10.0,12.0,0.0,27.0,2.0,4396.0
True,10414.0,5328.0,1889.4037532496047,53.0,171.0,13.0,15.0,46.0,976.0
False,2482.0,1412.0,1326.0155832621224,54.0,71.0,28.0,33.0,50.0,5143.0
False,11042.0,6562.0,3997.891364697216,70.0,113.0,19.0,36.0,50.0,13807.0
False,3470.0,1838.0,5194.848080504035,13.0,32.0,15.0,5.0,28.0,12603.0
False,10842.0,5860.0,3627.265585577259,17.0,45.0,1.0,13.0,18.0,4056.0
True,5934.0,3116.0,6786.956030513323,23.0,203.0,41.0,1.0,78.0,6571.0
True,1560.0,784.0,11339.32775347912,99.0,208.0,44.0,44.0,58.0,105.0
True,3956.0,1992.0,2371.879934322964,105.0,441.0,1.0,12.0,4.0,6564.0
False,142.0,78.0,962.1317038363642,212.0,934.0,47.0,36.0,60.0,7465.0
False,5288.0,3208.0,4242.377721321513,0.0,1.0,0.0,3.0,2.0,3552.0
False,44480.0,24784.0,6436.670263482629,229.0,655.0,89.0,88.0,98.0,11977.0
False,64.0,22.0,4063.976577159081,34.0,37.0,0.0,5.0,4.0,2566.0
False,1640.0,1174.0,3868.626227052133,27.0,88.0,8.0,11.0,10.0,1316.0
False,1248.0,640.0,2514.0493815455734,17.0,19.0,7.0,6.0,22.0,3442.0
True,6358.0,3952.0,2373.6884266448646,29.0,48.0,3.0,7.0,14.0,2927.0
False,4578.0,2524.0,2697.0570560117235,42.0,72.0,6.0,15.0,34.0,4046.0
False,7512.0,4214.0,3371.3037371779337,47.0,83.0,15.0,15.0,38.0,3091.0
True,2634.0,1280.0,1463.09778741811,35.0,45.0,13.0,21.0,34.0,2390.0
True,17860.0,9736.0,7403.380547070826,36.0,35.0,21.0,21.0,6.0,4605.0
False,4382.0,2566.0,1136.1770436784943,85.0,92.0,20.0,13.0,18.0,4433.0
False,894.0,472.0,1610.5314201069496,93.0,143.0,21.0,27.0,28.0,6217.0
False,8076.0,4724.0,1572.8936692331715,40.0,131.0,11.0,14.0,14.0,2661.0
True,26366.0,14418.0,4902.473315171335,41.0,34.0,24.0,65.0,70.0,6818.0
True,1958.0,1018.0,11749.06792482078,98.0,201.0,32.0,27.0,32.0,94.0
False,2542.0,1438.0,3358.4898157699326,51.0,78.0,2.0,14.0,12.0,3505.0
True,1508.0,836.0,1934.4036068632608,77.0,195.0,25.0,53.0,68.0,14345.0
False,4448.0,2552.0,10529.208289547329,46.0,44.0,11.0,11.0,2.0,9072.0
False,508.0,332.0,6830.975182217746,0.0,4.0,0.0,2.0,10.0,1368.0
False,70.0,46.0,6317.960673950764,3.0,4.0,0.0,2.0,8.0,1659.0
False,272.0,178.0,2185.0229405207097,0.0,3.0,2.0,2.0,0.0,2123.0
False,728.0,418.0,986.5627328012524,129.0,203.0,25.0,32.0,56.0,5297.0
False,2048.0,1054.0,3337.523006093133,4.0,14.0,0.0,2.0,8.0,1909.0
False,1046.0,500.0,3326.0348590496574,14.0,66.0,5.0,6.0,0.0,1365.0
True,3150.0,1734.0,1709.4207231251944,32.0,74.0,5.0,12.0,12.0,4667.0
True,152.0,78.0,8474.288768907,129.0,161.0,5.0,9.0,6.0,8007.0
True,8048.0,4162.0,4721.351583504388,163.0,16.0,1.0,7.0,10.0,6187.0
True,87254.0,45254.0,5953.825266393034,50.0,80.0,11.0,18.0,26.0,11568.0
True,954.0,572.0,3602.707360541357,36.0,46.0,2.0,17.0,12.0,13541.0
True,4752.0,2388.0,6802.257889839829,67.0,199.0,11.0,15.0,16.0,10054.0
False,420.0,236.0,2229.413558768073,0.0,0.0,0.0,0.0,4.0,344.0
False,58.0,34.0,2047.2428783774017,6.0,64.0,4.0,5.0,8.0,658.0
True,1076.0,614.0,8574.986651080211,67.0,51.0,21.0,28.0,28.0,6070.0
False,17828.0,9382.0,2030.947670419093,119.0,134.0,8.0,37.0,52.0,2156.0
True,144.0,86.0,3463.693074301994,274.0,440.0,100.0,63.0,118.0,13214.0
