Unnamed: 0_x,station,总流量,高峰流量,平峰流量,Unnamed: 0.1,treat,count,车相关,商务住宅,生活服务,购物服务,餐饮服务,科教文化服务,公共设施,政府机构及社会团体,体育休闲服务,医疗保健服务,风景名胜,金融保险服务,住宿服务,Unnamed: 0_y,pop,站点,平均乘距,year,station_name,cos_theta,cos_abs
156,2015_上沙村,47272.0,25372.0,21900.0,579.0,False,879.0,2.0,17.0,89.0,418.0,186.0,8.0,30.0,1.0,13.0,22.0,2.0,6.0,15.0,579,15986.0,2015_上沙村,8547.58395343179,2015,上沙村,-0.9919493146022323,0.9919493146022323
160,2015_上油松村,40732.0,22228.0,18504.0,1259.0,False,1367.0,34.0,51.0,172.0,667.0,194.0,21.0,76.0,9.0,18.0,31.0,0.0,30.0,14.0,1271,6487.0,2015_上油松村,3387.019991124713,2015,上油松村,-0.9890992956836084,0.9890992956836084
161,2015_上洞村,550.0,320.0,230.0,4748.0,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4850,296.0,2015_上洞村,7215.117888903333,2015,上洞村,0.2581326065336436,0.2581326065336436
167,2015_上石家市场,2002.0,1094.0,908.0,3775.0,False,81.0,2.0,14.0,1.0,11.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,3804,2178.0,2015_上石家市场,1773.9023099208373,2015,上石家市场,-0.70566551499569,0.70566551499569
168,2015_上石家村口,244.0,120.0,124.0,3773.0,False,98.0,6.0,3.0,15.0,33.0,15.0,0.0,6.0,4.0,2.0,6.0,0.0,3.0,2.0,3802,4165.0,2015_上石家村口,1539.1406023974937,2015,上石家村口,-0.8384460675521366,0.8384460675521366
172,2015_上辇,1048.0,574.0,474.0,1495.0,False,208.0,0.0,16.0,24.0,103.0,22.0,1.0,8.0,1.0,8.0,8.0,1.0,0.0,7.0,1507,5586.0,2015_上辇,8212.110935372857,2015,上辇,0.8405992988050509,0.8405992988050509
173,2015_上辇村口,2916.0,1478.0,1438.0,1494.0,False,133.0,8.0,9.0,11.0,66.0,6.0,1.0,8.0,1.0,5.0,0.0,1.0,3.0,5.0,1506,2517.0,2015_上辇村口,8359.406351481435,2015,上辇村口,0.999625029640099,0.999625029640099
174,2015_上雪工业区,33138.0,18608.0,14530.0,3229.0,False,298.0,20.0,18.0,44.0,77.0,87.0,6.0,4.0,0.0,3.0,5.0,0.0,5.0,7.0,3258,5628.0,2015_上雪工业区,4285.364876736452,2015,上雪工业区,0.9552397090476021,0.9552397090476021
175,2015_上雪市场,4100.0,2362.0,1738.0,3266.0,False,329.0,22.0,21.0,38.0,105.0,64.0,3.0,18.0,1.0,6.0,6.0,0.0,3.0,6.0,3295,4327.0,2015_上雪市场,2926.573206544158,2015,上雪市场,0.9781352283120736,0.9781352283120736
177,2015_下围水工业区,1264.0,758.0,506.0,2375.0,False,67.0,6.0,9.0,11.0,25.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,2417,6518.0,2015_下围水工业区,2101.921035069681,2015,下围水工业区,-0.09902700972632193,0.09902700972632193
180,2015_下李朗图书馆,8618.0,5130.0,3488.0,3036.0,False,63.0,2.0,2.0,4.0,10.0,6.0,0.0,14.0,0.0,4.0,0.0,0.0,1.0,2.0,3065,4959.0,2015_下李朗图书馆,1948.1760283748024,2015,下李朗图书馆,0.8528236556568665,0.8528236556568665
181,2015_下村公园,3028.0,1524.0,1504.0,3791.0,False,13.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,3820,8323.0,2015_下村公园,1635.9303087417618,2015,下村公园,0.9731119653432108,0.9731119653432108
182,2015_下村第五工业区,200.0,122.0,78.0,2467.0,False,122.0,6.0,3.0,15.0,39.0,19.0,5.0,16.0,0.0,2.0,7.0,0.0,2.0,3.0,2508,1949.0,2015_下村第五工业区,1064.3592128704545,2015,下村第五工业区,0.42419302528544806,0.42419302528544806
189,2015_下横朗村,8532.0,4856.0,3676.0,4380.0,False,354.0,2.0,28.0,24.0,67.0,42.0,3.0,16.0,1.0,0.0,4.0,0.0,2.0,3.0,4453,8202.0,2015_下横朗村,4446.801183780909,2015,下横朗村,0.6889212589065277,0.6889212589065277
192,2015_下沙①,31862.0,16630.0,15232.0,361.0,False,1011.0,32.0,33.0,141.0,269.0,255.0,31.0,92.0,23.0,16.0,20.0,4.0,19.0,31.0,361,13434.0,2015_下沙①,4302.34579709782,2015,下沙①,-0.9553471949119888,0.9553471949119888
193,2015_下沙②,17066.0,8738.0,8328.0,429.0,False,984.0,20.0,48.0,129.0,248.0,203.0,41.0,106.0,12.0,25.0,24.0,4.0,61.0,27.0,429,8167.0,2015_下沙②,7221.192030559064,2015,下沙②,-0.8553373793604676,0.8553373793604676
194,2015_下沙总站,4628.0,2466.0,2162.0,428.0,False,395.0,30.0,32.0,37.0,64.0,70.0,22.0,70.0,3.0,10.0,6.0,0.0,34.0,4.0,428,7575.0,2015_下沙总站,10303.871882854652,2015,下沙总站,-0.48794546279590884,0.48794546279590884
